chromosome	start	end	strand	C%+G%	Obs/Exp	CG_count	len
chr1	2322226	2323990	+	69.16	0.86	181.0	1764	
chr1	2333551	2334588	+	60.95	0.6	57.0	1037	
chr1	2343349	2345000	+	73.96	0.73	164.0	1651	
chr1	2356148	2356650	+	53.78	0.7	25.0	502	
chr1	2374782	2375963	+	75.78	0.79	133.0	1181	
chr1	2439394	2440638	+	61.25	0.6	70.0	1244	
chr1	2457067	2458651	+	66.98	0.79	140.0	1584	
chr1	2460761	2462110	+	74.43	0.91	169.0	1349	
chr1	2471992	2472587	+	70.59	0.76	56.0	595	
chr1	2517036	2519484	+	69.77	0.65	194.0	2448	
chr1	2548444	2549027	+	54.89	0.73	32.0	583	
chr1	2561692	2562839	+	55.45	0.68	56.0	1147	
chr1	2573697	2575227	+	70.65	0.6	113.0	1530	
chr1	2705276	2706962	+	66.13	0.8	147.0	1686	
chr1	2724373	2724898	+	62.1	0.6	30.0	525	
chr1	2769010	2769640	+	50.79	0.65	23.0	630	
chr1	2792443	2793025	+	62.2	0.63	35.0	582	
chr1	2808701	2809255	+	51.99	0.73	27.0	554	
chr1	2819882	2820724	+	60.21	0.61	46.0	842	
chr1	2827681	2828547	+	61.66	0.67	54.0	866	
chr1	2884886	2885494	+	54.93	0.7	32.0	608	
chr1	2978807	2981200	+	64.77	0.7	175.0	2393	
chr1	2983586	2988238	+	71.32	0.86	506.0	4652	
chr1	2989949	2990827	+	67.65	0.87	87.0	878	
chr1	2995028	2995883	+	56.73	0.6	41.0	855	
chr1	3028018	3028579	+	62.57	0.68	36.0	561	
chr1	3030667	3031336	+	57.85	1.09	55.0	669	
chr1	3047175	3047714	+	56.59	0.63	27.0	539	
chr1	3056902	3057521	+	59.45	0.62	34.0	619	
chr1	3062208	3062849	+	61.0	0.64	38.0	641	
chr1	3063082	3064061	+	58.63	0.61	40.0	979	
chr1	3070337	3071016	+	53.31	0.68	33.0	679	
chr1	3071723	3072267	+	59.56	0.75	36.0	544	
chr1	3080650	3081576	+	57.88	0.72	55.0	926	
chr1	3086204	3086854	+	58.62	0.64	36.0	650	
chr1	3096809	3098477	+	54.08	0.89	104.0	1668	
chr1	3100099	3100727	+	55.25	0.71	34.0	628	
chr1	3102502	3103496	+	62.88	0.63	62.0	994	
chr1	3111119	3111910	+	64.22	0.74	59.0	791	
chr1	3121072	3121935	+	59.56	0.6	45.0	863	
chr1	3139569	3140107	+	51.67	0.61	22.0	538	
chr1	3143636	3144282	+	59.44	0.6	34.0	646	
chr1	3160661	3161229	+	54.75	0.69	29.0	568	
chr1	3163970	3164644	+	67.8	0.84	65.0	674	
chr1	3182785	3183545	+	58.95	0.76	50.0	760	
chr1	3183898	3185073	+	59.74	0.63	66.0	1175	
chr1	3195060	3195572	+	63.48	0.61	31.0	512	
chr1	3203692	3204518	+	67.68	0.72	68.0	826	
chr1	3229449	3230041	+	61.49	0.7	39.0	592	
chr1	3276281	3276827	+	56.59	0.71	31.0	546	
chr1	3282413	3283075	+	59.97	0.66	39.0	662	
chr1	3309742	3311348	+	66.75	0.68	121.0	1606	
chr1	3325247	3326251	+	58.96	0.83	61.0	1004	
chr1	3327536	3329671	+	64.4	0.62	135.0	2135	
chr1	3370576	3371813	+	72.35	0.75	121.0	1237	
chr1	3447260	3448919	+	68.9	0.63	124.0	1659	
chr1	3499718	3500534	+	64.34	0.79	57.0	816	
chr1	3527282	3528837	+	71.13	0.64	123.0	1555	
chr1	3540467	3542446	+	69.08	0.82	193.0	1979	
chr1	3559882	3561214	+	68.92	0.78	123.0	1332	
chr1	3561770	3562531	+	60.84	0.89	62.0	761	
chr1	3566031	3566820	+	68.19	0.68	61.0	789	
chr1	3567109	3570068	+	69.92	0.79	285.0	2959	
chr1	3579746	3580248	+	55.18	0.64	24.0	502	
chr1	3589632	3590240	+	58.06	0.61	31.0	608	
chr1	3649295	3649973	+	69.47	0.6	49.0	678	
chr1	3660553	3661215	+	50.76	0.66	28.0	662	
chr1	3662894	3664168	+	67.9	0.77	113.0	1274	
chr1	3672998	3673508	+	59.41	0.62	28.0	510	
chr1	3688532	3689798	+	74.01	0.66	113.0	1266	
chr1	3700995	3701757	+	54.33	0.62	35.0	762	
chr1	3712107	3713663	+	63.5	0.74	115.0	1556	
chr1	3731437	3732063	+	61.82	0.69	41.0	626	
chr1	3773145	3775456	+	66.21	0.69	175.0	2311	
chr1	3790633	3791612	+	55.77	0.79	60.0	979	
chr1	3816281	3818226	+	66.32	0.66	142.0	1945	
chr1	4036906	4037529	+	61.16	0.6	32.0	623	
chr1	4053800	4054319	+	51.45	0.67	23.0	519	
chr1	4220906	4221868	+	60.81	0.63	56.0	962	
chr1	4391620	4392202	+	55.15	0.83	31.0	582	
chr1	4560003	4560661	+	55.62	0.64	32.0	658	
chr1	4713905	4716952	+	71.84	0.9	354.0	3047	
chr1	4726493	4727088	+	65.04	0.68	34.0	595	
chr1	4832215	4833055	+	57.02	0.65	44.0	840	
chr1	5355294	5355800	+	52.77	0.67	23.0	506	
chr1	5771984	5772549	+	67.26	0.76	47.0	565	
chr1	5939827	5940652	+	54.3	0.65	37.0	825	
chr1	5944923	5945539	+	58.6	0.61	25.0	616	
chr1	5971794	5972714	+	54.89	0.61	42.0	920	
chr1	6051294	6053490	+	68.99	0.81	211.0	2196	
chr1	6131508	6132070	+	67.97	0.6	39.0	562	
chr1	6166310	6166812	+	67.73	0.61	35.0	502	
chr1	6187453	6188266	+	65.07	0.66	55.0	813	
chr1	6202074	6202694	+	62.74	0.61	37.0	620	
chr1	6208622	6209394	+	68.65	0.63	57.0	772	
chr1	6218713	6219250	+	56.98	0.74	32.0	537	
chr1	6239157	6241369	+	72.69	0.82	240.0	2212	
chr1	6258977	6259907	+	64.73	0.77	74.0	930	
chr1	6264696	6265246	+	53.27	0.64	25.0	550	
chr1	6265591	6267192	+	66.58	0.7	124.0	1601	
chr1	6268312	6269637	+	65.74	0.85	122.0	1325	
chr1	6276416	6277016	+	56.0	0.67	31.0	600	
chr1	6282904	6283501	+	52.43	0.66	27.0	597	
chr1	6295430	6297130	+	65.76	0.91	167.0	1700	
chr1	6301613	6302929	+	70.06	0.83	132.0	1316	
chr1	6305149	6306622	+	69.72	0.75	133.0	1473	
chr1	6308851	6310658	+	71.39	0.75	171.0	1807	
chr1	6319748	6322048	+	72.13	0.71	211.0	2300	
chr1	6399412	6400336	+	57.36	0.63	47.0	924	
chr1	6401270	6401798	+	55.11	0.6	24.0	528	
chr1	6441916	6442599	+	54.32	0.73	36.0	683	
chr1	6452759	6454545	+	68.7	0.88	184.0	1786	
chr1	6460639	6461418	+	50.32	0.63	31.0	779	
chr1	6464426	6465040	+	54.89	0.89	41.0	614	
chr1	6478731	6480939	+	71.33	0.78	219.0	2208	
chr1	6483830	6485328	+	70.23	0.75	139.0	1498	
chr1	6500169	6501254	+	72.72	0.78	112.0	1085	
chr1	6507074	6509359	+	71.82	0.67	197.0	2285	
chr1	6514109	6516795	+	69.17	0.82	263.0	2686	
chr1	6520072	6522161	+	63.52	0.67	140.0	2089	
chr1	6525977	6526808	+	66.43	0.71	65.0	831	
chr1	6530348	6531262	+	68.82	0.77	83.0	914	
chr1	6545085	6545919	+	77.58	0.68	83.0	834	
chr1	6549886	6551135	+	67.17	0.65	91.0	1249	
chr1	6557018	6558285	+	70.64	0.7	110.0	1267	
chr1	6614046	6614959	+	67.03	0.88	90.0	913	
chr1	6618703	6619250	+	55.39	0.63	26.0	547	
chr1	6633473	6633976	+	50.89	0.83	27.0	503	
chr1	6639389	6640362	+	66.19	0.76	81.0	973	
chr1	6661399	6663374	+	71.44	0.89	225.0	1975	
chr1	6672617	6675742	+	71.94	0.89	352.0	3125	
chr1	6677201	6677769	+	52.11	0.6	23.0	568	
chr1	6684919	6686302	+	65.65	0.72	107.0	1383	
chr1	6761178	6762485	+	66.56	0.8	116.0	1307	
chr1	6844145	6846367	+	72.41	0.9	260.0	2222	
chr1	7023259	7023866	+	65.9	0.61	39.0	607	
chr1	7122520	7123519	+	56.56	0.61	49.0	999	
chr1	7318812	7319413	+	53.24	0.64	27.0	601	
chr1	7740144	7741177	+	72.22	0.86	116.0	1033	
chr1	7763827	7766081	+	75.38	1.0	313.0	2254	
chr1	7796198	7796717	+	54.34	0.63	24.0	519	
chr1	7801253	7801785	+	52.63	0.64	23.0	532	
chr1	7831052	7832100	+	68.8	0.86	106.0	1048	
chr1	7843260	7845239	+	69.33	0.8	189.0	1979	
chr1	7887199	7887771	+	62.24	0.65	35.0	572	
chr1	8013819	8014772	+	59.81	0.84	71.0	953	
chr1	8021302	8022227	+	65.95	0.92	91.0	925	
chr1	8085423	8087006	+	68.35	1.0	184.0	1583	
chr1	8220243	8220802	+	53.13	0.62	24.0	559	
chr1	8270350	8270873	+	51.63	0.6	21.0	523	
chr1	8276523	8277941	+	62.91	0.69	96.0	1418	
chr1	8300782	8301553	+	53.05	0.65	35.0	771	
chr1	8321839	8322380	+	57.3	0.68	30.0	541	
chr1	8377724	8379070	+	64.56	0.73	102.0	1346	
chr1	8390203	8391043	+	65.0	0.62	55.0	840	
chr1	8391842	8392455	+	53.83	0.68	30.0	613	
chr1	8483253	8484419	+	71.18	0.78	114.0	1166	
chr1	8549832	8550373	+	54.53	0.65	26.0	541	
chr1	8762931	8763708	+	71.3	0.88	86.0	777	
chr1	8774956	8775567	+	54.01	0.63	28.0	611	
chr1	8877013	8878303	+	65.19	0.9	122.0	1290	
chr1	8936661	8939541	+	61.74	0.81	223.0	2880	
chr1	8952923	8953560	+	55.42	0.96	47.0	637	
chr1	8966721	8967271	+	57.45	0.87	39.0	550	
chr1	9098963	9100514	+	68.99	0.62	115.0	1551	
chr1	9188225	9189744	+	72.94	0.73	147.0	1519	
chr1	9242015	9243894	+	69.13	0.77	173.0	1879	
chr1	9258446	9259227	+	65.43	0.69	58.0	781	
chr1	9277944	9278695	+	53.4	0.6	32.0	751	
chr1	9294260	9295453	+	72.25	0.87	136.0	1193	
chr1	9317852	9318383	+	54.43	0.77	29.0	531	
chr1	9352056	9353956	+	71.58	0.87	211.0	1900	
chr1	9416127	9416646	+	58.77	0.74	33.0	519	
chr1	9427448	9427956	+	62.4	0.67	32.0	508	
chr1	9488652	9489538	+	55.53	0.78	53.0	886	
chr1	9555314	9555907	+	62.39	0.8	46.0	593	
chr1	9593820	9594474	+	52.45	0.65	29.0	654	
chr1	9598814	9600680	+	64.63	0.91	178.0	1866	
chr1	9601077	9601647	+	57.37	0.62	29.0	570	
chr1	9622678	9623283	+	50.25	0.63	24.0	605	
chr1	9648038	9649782	+	69.38	0.92	192.0	1744	
chr1	9663849	9664397	+	59.12	0.61	29.0	548	
chr1	9682896	9683614	+	55.01	0.61	33.0	718	
chr1	9687064	9687596	+	69.17	0.76	48.0	532	
chr1	9711304	9713160	+	66.49	0.78	158.0	1856	
chr1	9749108	9750510	+	69.26	0.75	125.0	1402	
chr1	9775581	9776159	+	66.09	0.64	40.0	578	
chr1	9795769	9796280	+	52.45	0.69	24.0	511	
chr1	9804392	9805103	+	57.81	0.61	36.0	711	
chr1	9859332	9860063	+	51.71	0.6	29.0	731	
chr1	9882851	9884952	+	69.3	0.86	218.0	2101	
chr1	9891889	9892406	+	51.64	0.66	22.0	517	
chr1	9969637	9971117	+	69.93	0.85	148.0	1480	
chr1	9971427	9972083	+	53.81	0.67	32.0	656	
chr1	10002945	10003897	+	59.45	0.74	62.0	952	
chr1	10057122	10058213	+	74.7	0.88	132.0	1091	
chr1	10086188	10086822	+	55.99	0.65	32.0	634	
chr1	10092533	10093898	+	62.64	0.78	104.0	1365	
chr1	10095477	10096103	+	55.11	0.82	39.0	626	
chr1	10269828	10271544	+	70.51	0.87	186.0	1716	
chr1	10304402	10305011	+	56.65	0.69	33.0	609	
chr1	10458439	10460030	+	66.06	0.88	152.0	1591	
chr1	10490025	10491899	+	59.55	0.89	148.0	1874	
chr1	10521857	10522487	+	54.44	0.63	29.0	630	
chr1	10530504	10531116	+	56.86	0.65	32.0	612	
chr1	10531881	10532922	+	57.16	0.92	77.0	1041	
chr1	10534490	10535805	+	60.23	0.6	71.0	1315	
chr1	10698268	10700099	+	72.58	0.9	218.0	1831	
chr1	10713839	10714709	+	62.99	0.67	57.0	870	
chr1	10725164	10725694	+	68.87	0.64	40.0	530	
chr1	10753774	10754377	+	72.8	1.06	83.0	603	
chr1	10754484	10755740	+	76.43	0.93	168.0	1256	
chr1	10757853	10758461	+	56.25	0.71	33.0	608	
chr1	10764389	10765223	+	67.87	0.63	60.0	834	
chr1	10775630	10776134	+	63.89	0.66	16.0	504	
chr1	10853744	10856965	+	67.81	0.77	283.0	3221	
chr1	10926816	10927742	+	69.44	0.79	86.0	926	
chr1	10948058	10949634	+	64.34	0.69	113.0	1576	
chr1	11072599	11073656	+	62.16	0.83	85.0	1057	
chr1	11118777	11120765	+	69.16	0.76	179.0	1988	
chr1	11157123	11157819	+	52.73	0.6	29.0	696	
chr1	11159259	11160776	+	59.33	0.8	105.0	1517	
chr1	11322076	11323037	+	62.23	0.7	65.0	961	
chr1	11332736	11334028	+	65.09	0.66	90.0	1292	
chr1	11334304	11334825	+	51.82	0.72	25.0	521	
chr1	11538610	11540612	+	69.63	0.82	198.0	2002	
chr1	11561188	11562175	+	65.15	0.83	86.0	987	
chr1	11713856	11715307	+	71.95	0.75	140.0	1451	
chr1	11723815	11725006	+	69.27	0.76	107.0	1191	
chr1	11725170	11725913	+	55.85	0.7	40.0	743	
chr1	11740009	11742228	+	61.24	0.77	160.0	2219	
chr1	11750481	11752871	+	68.33	0.77	211.0	2390	
chr1	11779050	11780606	+	55.53	0.62	74.0	1556	
chr1	11864988	11866262	+	63.66	0.68	88.0	1274	
chr1	11897464	11898029	+	57.7	0.6	28.0	565	
chr1	11918750	11919701	+	64.46	0.67	66.0	951	
chr1	11957807	11959184	+	63.4	0.62	84.0	1377	
chr1	11968849	11969683	+	59.35	0.76	56.0	834	
chr1	11985311	11986736	+	71.02	0.76	136.0	1425	
chr1	11994216	11995104	+	64.98	0.64	60.0	888	
chr1	12039382	12040001	+	54.12	0.69	31.0	619	
chr1	12040114	12041107	+	65.46	0.8	85.0	993	
chr1	12068272	12069370	+	66.48	0.61	73.0	1098	
chr1	12078466	12080098	+	59.25	0.79	113.0	1632	
chr1	12083396	12084001	+	50.08	0.61	23.0	605	
chr1	12102610	12103773	+	67.33	0.61	80.0	1163	
chr1	12123105	12124308	+	64.34	0.68	84.0	1203	
chr1	12226800	12228003	+	70.16	0.75	111.0	1203	
chr1	12251335	12252012	+	69.42	0.77	57.0	677	
chr1	12257847	12258652	+	54.66	0.64	38.0	805	
chr1	12289955	12290716	+	74.38	0.79	83.0	761	
chr1	12655853	12656377	+	71.18	0.68	45.0	524	
chr1	12676936	12677465	+	64.08	0.96	52.0	529	
chr1	12677575	12678820	+	57.51	0.85	87.0	1245	
chr1	12962208	12962990	+	68.41	0.6	54.0	782	
chr1	13026178	13026887	+	53.03	0.62	31.0	709	
chr1	13340327	13341036	+	53.03	0.62	31.0	709	
chr1	13500380	13501302	+	66.59	0.65	66.0	922	
chr1	13544510	13545283	+	68.43	0.62	56.0	773	
chr1	13721212	13722134	+	66.81	0.65	67.0	922	
chr1	13765369	13766142	+	68.43	0.62	56.0	773	
chr1	13811459	13812092	+	52.29	0.6	26.0	633	
chr1	13839445	13840869	+	69.66	0.82	140.0	1424	
chr1	13881059	13882064	+	56.82	0.69	56.0	1005	
chr1	13910138	13911271	+	63.72	0.67	76.0	1133	
chr1	13983892	13985158	+	67.85	0.6	88.0	1266	
chr1	14025224	14025914	+	53.62	0.75	37.0	690	
chr1	14026032	14027201	+	68.26	0.96	130.0	1169	
chr1	14075268	14076642	+	69.21	1.03	169.0	1374	
chr1	14219115	14219868	+	70.52	0.68	64.0	753	
chr1	14924480	14926192	+	69.28	0.75	153.0	1712	
chr1	15127529	15128583	+	54.36	0.6	47.0	1054	
chr1	15250130	15251930	+	70.83	0.91	204.0	1800	
chr1	15260412	15260998	+	53.92	0.66	28.0	586	
chr1	15283828	15284401	+	61.26	0.64	33.0	573	
chr1	15328176	15328726	+	53.64	0.66	26.0	550	
chr1	15374976	15375613	+	59.97	0.76	43.0	637	
chr1	15478798	15481563	+	65.97	0.77	232.0	2765	
chr1	15573566	15574222	+	71.8	0.67	57.0	656	
chr1	15735686	15737339	+	70.42	0.8	162.0	1653	
chr1	15744732	15745433	+	53.5	0.6	30.0	701	
chr1	15850385	15852440	+	64.09	0.86	163.0	2055	
chr1	15852955	15853664	+	63.47	0.84	60.0	709	
chr1	15911070	15911727	+	72.75	0.76	66.0	657	
chr1	15914492	15915026	+	52.43	0.77	28.0	534	
chr1	15929120	15930346	+	54.98	0.77	71.0	1226	
chr1	15943822	15944647	+	70.55	0.84	86.0	825	
chr1	15945638	15946246	+	55.1	0.81	37.0	608	
chr1	16010323	16011574	+	75.54	0.75	133.0	1251	
chr1	16013044	16013616	+	53.5	0.66	27.0	572	
chr1	16085072	16086062	+	75.25	0.79	109.0	990	
chr1	16110049	16110656	+	54.7	0.62	28.0	607	
chr1	16154081	16154959	+	54.56	0.6	39.0	878	
chr1	16158741	16159382	+	54.29	0.64	30.0	641	
chr1	16159659	16160174	+	53.59	0.65	24.0	515	
chr1	16160824	16164124	+	60.18	0.87	260.0	3300	
chr1	16173523	16176267	+	63.88	0.97	272.0	2744	
chr1	16260691	16261253	+	60.14	0.65	33.0	562	
chr1	16270546	16272061	+	66.47	0.63	105.0	1515	
chr1	16301092	16301596	+	55.75	0.7	27.0	504	
chr1	16301863	16302712	+	69.26	0.91	89.0	849	
chr1	16399471	16400787	+	68.24	0.73	111.0	1316	
chr1	16474863	16475509	+	61.15	0.65	39.0	646	
chr1	16480627	16482906	+	63.89	0.66	152.0	2279	
chr1	16493872	16495105	+	63.42	0.61	75.0	1233	
chr1	16532393	16534751	+	66.75	0.68	176.0	2358	
